Date,Open,High,Low,Close
12/29/2017,"1.56425%","1.56425%","1.56425%","1.56425%"
12/28/2017,"1.56775%","1.56775%","1.56775%","1.56775%"
12/27/2017,"1.56900%","1.56900%","1.56900%","1.56900%"
12/26/2017,"1.56375%","1.56375%","1.56375%","1.56375%"
12/22/2017,"1.56375%","1.56375%","1.56375%","1.56375%"
12/21/2017,"1.55213%","1.55213%","1.55213%","1.55213%"
12/20/2017,"1.53488%","1.53488%","1.53488%","1.53488%"
12/19/2017,"1.51113%","1.51113%","1.51113%","1.51113%"
12/18/2017,"1.50113%","1.50113%","1.50113%","1.50113%"
12/15/2017,"1.49500%","1.49500%","1.49500%","1.49500%"
12/14/2017,"1.49078%","1.49078%","1.49078%","1.49078%"
12/13/2017,"1.47703%","1.47703%","1.47703%","1.47703%"
12/12/2017,"1.47195%","1.47195%","1.47195%","1.47195%"
12/11/2017,"1.45951%","1.45951%","1.45951%","1.45951%"
12/08/2017,"1.44438%","1.44438%","1.44438%","1.44438%"
12/07/2017,"1.43185%","1.43185%","1.43185%","1.43185%"
12/06/2017,"1.40688%","1.40688%","1.40688%","1.40688%"
12/05/2017,"1.40319%","1.40319%","1.40319%","1.40319%"
12/04/2017,"1.39181%","1.39181%","1.39181%","1.39181%"
12/01/2017,"1.37938%","1.37938%","1.37938%","1.37938%"
11/30/2017,"1.37188%","1.37188%","1.37188%","1.37188%"
11/29/2017,"1.36069%","1.36069%","1.36069%","1.36069%"
11/28/2017,"1.34978%","1.34978%","1.34978%","1.34978%"
11/27/2017,"1.34676%","1.34676%","1.34676%","1.34676%"
11/24/2017,"1.33756%","1.33756%","1.33756%","1.33756%"
11/22/2017,"1.32750%","1.32750%","1.32750%","1.32750%"
11/21/2017,"1.31287%","1.31287%","1.31287%","1.31287%"
11/20/2017,"1.29418%","1.29418%","1.29418%","1.29418%"
11/17/2017,"1.28719%","1.28719%","1.28719%","1.28719%"
11/16/2017,"1.28267%","1.28267%","1.28267%","1.28267%"
11/15/2017,"1.26600%","1.26600%","1.26600%","1.26600%"
11/14/2017,"1.26350%","1.26350%","1.26350%","1.26350%"
11/13/2017,"1.25028%","1.25028%","1.25028%","1.25028%"
11/10/2017,"1.24606%","1.24606%","1.24606%","1.24606%"
11/09/2017,"1.24494%","1.24494%","1.24494%","1.24494%"
11/08/2017,"1.24606%","1.24606%","1.24606%","1.24606%"
11/07/2017,"1.24389%","1.24389%","1.24389%","1.24389%"
11/06/2017,"1.24424%","1.24424%","1.24424%","1.24424%"
11/03/2017,"1.24322%","1.24322%","1.24322%","1.24322%"
11/02/2017,"1.24212%","1.24212%","1.24212%","1.24212%"
11/01/2017,"1.24333%","1.24333%","1.24333%","1.24333%"
10/31/2017,"1.24333%","1.24333%","1.24333%","1.24333%"
10/30/2017,"1.24214%","1.24214%","1.24214%","1.24214%"
10/27/2017,"1.24233%","1.24233%","1.24233%","1.24233%"
10/26/2017,"1.24166%","1.24166%","1.24166%","1.24166%"
