Date,Open,High,Low,Close
12/31/2020,"0.07763%","0.07763%","0.07763%","0.07763%"
12/30/2020,"0.08563%","0.08563%","0.08563%","0.08563%"
12/29/2020,"0.08738%","0.08738%","0.08738%","0.08738%"
12/24/2020,"0.08100%","0.08100%","0.08100%","0.08100%"
12/23/2020,"0.08563%","0.08563%","0.08563%","0.08563%"
12/22/2020,"0.08513%","0.08513%","0.08513%","0.08513%"
12/21/2020,"0.08463%","0.08463%","0.08463%","0.08463%"
12/18/2020,"0.08438%","0.08438%","0.08438%","0.08438%"
12/17/2020,"0.08538%","0.08538%","0.08538%","0.08538%"
12/16/2020,"0.08125%","0.08125%","0.08125%","0.08125%"
12/15/2020,"0.08200%","0.08200%","0.08200%","0.08200%"
12/14/2020,"0.08250%","0.08250%","0.08250%","0.08250%"
12/11/2020,"0.08325%","0.08325%","0.08325%","0.08325%"
12/10/2020,"0.08288%","0.08288%","0.08288%","0.08288%"
12/09/2020,"0.08263%","0.08263%","0.08263%","0.08263%"
12/08/2020,"0.08250%","0.08250%","0.08250%","0.08250%"
12/07/2020,"0.08288%","0.08288%","0.08288%","0.08288%"
12/04/2020,"0.08325%","0.08325%","0.08325%","0.08325%"
12/03/2020,"0.08275%","0.08275%","0.08275%","0.08275%"
12/02/2020,"0.08150%","0.08150%","0.08150%","0.08150%"
12/01/2020,"0.08050%","0.08050%","0.08050%","0.08050%"
11/30/2020,"0.08500%","0.08500%","0.08500%","0.08500%"
11/27/2020,"0.08025%","0.08025%","0.08025%","0.08025%"
11/25/2020,"0.08000%","0.08000%","0.08000%","0.08000%"
11/24/2020,"0.08013%","0.08013%","0.08013%","0.08013%"
11/23/2020,"0.08200%","0.08200%","0.08200%","0.08200%"
11/20/2020,"0.08263%","0.08263%","0.08263%","0.08263%"
11/19/2020,"0.08238%","0.08238%","0.08238%","0.08238%"
11/18/2020,"0.08225%","0.08225%","0.08225%","0.08225%"
11/17/2020,"0.08213%","0.08213%","0.08213%","0.08213%"
11/16/2020,"0.08363%","0.08363%","0.08363%","0.08363%"
11/13/2020,"0.08325%","0.08325%","0.08325%","0.08325%"
11/12/2020,"0.08150%","0.08150%","0.08150%","0.08150%"
11/10/2020,"0.08488%","0.08488%","0.08488%","0.08488%"
11/09/2020,"0.08113%","0.08113%","0.08113%","0.08113%"
11/06/2020,"0.08263%","0.08263%","0.08263%","0.08263%"
11/05/2020,"0.08138%","0.08138%","0.08138%","0.08138%"
11/04/2020,"0.08150%","0.08150%","0.08150%","0.08150%"
11/03/2020,"0.08200%","0.08200%","0.08200%","0.08200%"
11/02/2020,"0.08113%","0.08113%","0.08113%","0.08113%"
10/30/2020,"0.08138%","0.08138%","0.08138%","0.08138%"
10/29/2020,"0.08100%","0.08100%","0.08100%","0.08100%"
10/28/2020,"0.08025%","0.08025%","0.08025%","0.08025%"
10/27/2020,"0.08163%","0.08163%","0.08163%","0.08163%"
10/26/2020,"0.08063%","0.08063%","0.08063%","0.08063%"
10/23/2020,"0.08138%","0.08138%","0.08138%","0.08138%"
10/22/2020,"0.08413%","0.08413%","0.08413%","0.08413%"
10/21/2020,"0.08063%","0.08063%","0.08063%","0.08063%"
10/20/2020,"0.08038%","0.08038%","0.08038%","0.08038%"
10/19/2020,"0.08088%","0.08088%","0.08088%","0.08088%"
10/16/2020,"0.08113%","0.08113%","0.08113%","0.08113%"
10/15/2020,"0.08125%","0.08125%","0.08125%","0.08125%"
10/14/2020,"0.08088%","0.08088%","0.08088%","0.08088%"
10/13/2020,"0.08000%","0.08000%","0.08000%","0.08000%"
10/09/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
10/08/2020,"0.08263%","0.08263%","0.08263%","0.08263%"
10/07/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
10/06/2020,"0.08150%","0.08150%","0.08150%","0.08150%"
10/05/2020,"0.08138%","0.08138%","0.08138%","0.08138%"
10/02/2020,"0.08125%","0.08125%","0.08125%","0.08125%"
10/01/2020,"0.08175%","0.08175%","0.08175%","0.08175%"
