Month,Value
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,1
2016-02,3
2016-03,3
2016-04,4
2016-05,7
2016-06,100
2016-07,23
2016-08,9
2016-09,12
2016-10,25
2016-11,20
2016-12,17
2017-01,28
2017-02,18
2017-03,18
2017-04,14
2017-05,13
2017-06,14
2017-07,12
2017-08,11
2017-09,12
2017-10,14
2017-11,15
2017-12,15
2018-01,11
2018-02,15
2018-03,15
2018-04,12
2018-05,11
2018-06,13
2018-07,18
2018-08,15
2018-09,17
2018-10,22
2018-11,30
2018-12,30
2019-01,43
2019-02,34
2019-03,57
2019-04,42
2019-05,20
2019-06,15
2019-07,18
2019-08,27
2019-09,36
2019-10,49
2019-11,17
2019-12,18
2020-01,20
2020-02,17
2020-03,4
2020-04,3
2020-05,6
2020-06,7
2020-07,7
2020-08,7
2020-09,11
2020-10,12
2020-11,13
2020-12,34
2021-01,15
2021-02,9
2021-03,6
2021-04,5
2021-05,4
2021-06,5
2021-07,4
2021-08,4
2021-09,5
2021-10,7
2021-11,5
2021-12,4
2022-01,4
2022-02,3
2022-03,2
2022-04,2
2022-05,2
2022-06,2
2022-07,2
2022-08,2
2022-09,1
2022-10,2
2022-11,2
2022-12,2
2023-01,2
